"GTEX.11DXY.0526.SM.5EGGQ" "GTEX.11DXZ.0126.SM.5EGGY" "GTEX.11EQ9.0526.SM.5A5JZ" "GTEX.11GSP.0626.SM.5986T" "GTEX.11NUK.1226.SM.5P9GM" "GTEX.11NV4.1326.SM.5HL6V" "GTEX.11OF3.0726.SM.5BC4Z" "GTEX.11TT1.1726.SM.5EQLJ" "GTEX.11TUW.1726.SM.5BC5C" "GTEX.11WQC.0726.SM.5EQMR" "GTEX.11ZTS.1426.SM.5EQMM" "GTEX.11ZUS.2526.SM.59872" "GTEX.11ZVC.0726.SM.5FQT9" "GTEX.1212Z.0226.SM.59HLF" "GTEX.12696.0826.SM.5EGGE" "GTEX.1269C.0626.SM.5FQSS" "GTEX.12KS4.1326.SM.5LUB3" "GTEX.12WSD.1426.SM.5GCN9" "GTEX.12WSG.0626.SM.5FQTQ" "GTEX.12WSI.0226.SM.5GCNA"
"ENSG00000249820" 0 1 1 0 1 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0
"ENSG00000249993" 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000214301" 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0
"ENSG00000272832" 0 0 0 2 7 1 2 0 0 2 1 2 3 0 0 2 3 2 0 0
"ENSG00000250983" 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000201827" 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
"ENSG00000091527" 3514 2276 6631 2072 3734 3270 3106 11217 6269 4330 5796 3126 3880 2812 3819 4405 4501 2455 8094 3194
"ENSG00000163781" 469 562 1031 639 843 757 548 1437 716 606 1023 332 591 435 502 638 661 718 1193 517
"ENSG00000242337" 22 24 23 47 37 32 10 7 3 24 39 16 22 10 4 7 14 19 5 20
"ENSG00000252641" 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0
"ENSG00000201394" 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000091513" 189657 428382 315974 193342 216548 223726 121648 248750 173441 131299 285468 91835 93170 297870 54781 61425 98830 361890 110467 135030
"ENSG00000244062" 1886 1560 1654 8289 2827 5791 1031 350 355 3827 7160 1014 675 2034 346 937 556 958 776 1179
"ENSG00000144867" 1378 1059 3985 1167 1656 1983 1630 12577 4791 2965 2632 1704 2273 2152 5569 3476 2905 1645 6939 1814
"ENSG00000154917" 50 36 76 78 55 112 53 96 93 114 75 80 64 69 93 136 91 55 88 103
"ENSG00000221972" 2 1 8 0 8 2 0 2 6 8 1 0 2 3 6 0 0 1 4 4
"ENSG00000174640" 38 63 481 159 405 125 45 311 265 271 48 60 163 200 520 182 534 90 535 223
"ENSG00000243832" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000163785" 1053 695 1245 961 1447 1017 1259 1201 2096 1553 2194 712 1126 949 907 1395 1245 996 1601 1377
"ENSG00000231845" 0 2 2 0 2 1 2 2 6 4 0 0 0 0 2 1 0 0 4 0
"ENSG00000240006" 19 2 8 4 7 8 8 4 1 10 9 17 9 1 13 5 17 34 0 3
"ENSG00000260633" 12 6 14 20 14 12 10 0 13 6 38 14 7 21 10 12 11 15 4 3
"ENSG00000214289" 1 0 3 1 1 2 0 0 0 1 2 0 0 0 1 0 2 1 2 0
"ENSG00000114019" 1394 1179 1795 1376 1799 864 1110 359 2873 1701 3518 481 1864 938 1079 2853 1785 3479 1366 1927
"ENSG00000248377" 2 2 1 0 5 2 1 0 0 3 3 0 2 1 0 0 0 1 0 0
"ENSG00000221313" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000214288" 2 0 0 0 0 6 0 0 0 1 2 0 0 0 0 0 0 0 0 0
"ENSG00000129055" 789 1257 1806 693 1086 943 978 2006 730 1545 1445 672 1139 714 993 1779 2043 840 1632 1151
"ENSG00000182923" 852 592 797 709 985 958 728 878 498 1057 1138 751 1060 566 769 1000 903 779 1009 768
"ENSG00000249691" 0 0 0 0 2 0 2 1 0 0 0 0 2 0 0 0 2 0 0 0
"ENSG00000154928" 45 270 100 68 163 152 104 305 13 183 105 152 191 95 74 55 122 35 451 19
"ENSG00000174611" 2 4 0 2 3 1 2 4 0 2 3 2 0 2 2 0 0 4 4 2
"ENSG00000253087" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000201413" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000240086" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000242222" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000241905" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000073711" 113 112 191 97 168 86 95 121 98 111 168 69 75 71 35 130 133 61 196 138
"ENSG00000227267" 2 1 0 0 2 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000273455" 3 2 1 2 3 5 6 2 2 7 0 4 2 7 0 0 2 2 3 5
"ENSG00000174579" 1255 882 1221 903 2193 1512 1146 793 1035 1865 1987 887 1301 1099 895 1153 890 1042 902 890
"ENSG00000241438" 2 0 5 0 0 4 0 2 0 0 0 0 1 0 1 0 0 0 0 2
"ENSG00000244740" 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0
"ENSG00000114054" 3560 5130 6016 1417 3374 2920 2372 1139 2528 2583 4443 1474 2775 3706 2057 2117 3334 4947 3340 2054
"ENSG00000118007" 357 448 912 559 507 406 424 910 891 493 767 232 447 293 467 454 389 558 633 317
"ENSG00000200571" 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000244101" 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000252914" 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000240695" 6 6 2 4 2 11 2 0 0 1 0 5 10 7 2 7 5 4 0 0
"ENSG00000261758" 2 0 1 0 0 2 1 2 0 0 4 7 5 0 2 0 0 0 0 2
"ENSG00000242968" 0 1 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 4 0 0
"ENSG00000168917" 119 99 104 99 184 148 94 179 282 150 172 86 138 63 88 126 104 111 217 64
"ENSG00000273486" 59 63 27 21 79 72 68 15 10 56 88 82 66 28 45 43 27 39 26 58
"ENSG00000239213" 34 42 44 14 61 35 56 36 10 37 60 39 28 26 32 34 45 49 23 41
"ENSG00000158092" 730 717 993 670 938 1050 814 876 1302 1113 1439 651 1042 712 671 1389 802 730 1098 699
"ENSG00000214283" 0 0 0 0 0 0 0 2 0 0 0 2 0 0 0 0 0 0 0 0
"ENSG00000174564" 2449 401 46 33 84 1636 326 107 61 264 209 385 704 33 151 125 72 60 120 38
"ENSG00000249407" 1 0 2 0 0 2 0 1 0 1 0 0 0 0 0 0 0 0 0 0
"ENSG00000201325" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000243886" 0 0 2 0 0 0 0 2 0 0 0 0 0 0 4 0 0 0 0 0
"ENSG00000242070" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000168875" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000239513" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000261146" 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000241478" 0 6 2 2 0 0 3 2 0 2 1 2 1 7 1 0 1 2 1 4
"ENSG00000066405" 8 19 15 13 19 8 13 3 5 27 17 3 13 8 15 16 12 7 9 25
"ENSG00000272609" 1 1 2 2 1 0 2 0 1 0 0 0 0 0 0 1 3 1 0 9
"ENSG00000158163" 50 76 195 83 72 61 51 14 43 85 73 40 48 53 25 87 113 87 81 189
"ENSG00000240668" 48 35 147 27 18 43 18 72 4 40 89 19 4 24 8 16 4 38 154 50
"ENSG00000118017" 10 2 14 0 0 6 6 0 2 35 13 0 11 5 1 4 11 8 11 15
"ENSG00000138231" 349 301 598 214 442 381 348 550 190 473 590 291 436 231 322 368 333 316 615 430
"ENSG00000114098" 913 637 1508 1067 1352 1212 892 1375 1463 1210 1914 706 1064 763 926 1353 966 906 1968 858
"ENSG00000181322" 8 10 58 14 20 19 15 28 31 23 32 15 14 13 23 5 12 25 34 24
"ENSG00000158186" 213 143 538 518 154 544 259 234 202 376 413 158 259 459 122 537 392 255 790 776
"ENSG00000158220" 10 1 58 23 10 10 9 15 14 7 14 16 28 19 9 14 23 8 11 25
"ENSG00000114107" 728 538 1233 795 1083 817 1046 718 397 934 1257 495 824 602 523 950 739 689 952 588
"ENSG00000158234" 86 100 359 85 70 96 89 322 121 159 185 72 116 96 158 167 168 161 317 162
"ENSG00000174715" 0 1 1 0 3 0 0 1 0 0 2 0 0 0 0 3 0 1 1 1
"ENSG00000051382" 643 503 1410 575 539 655 643 893 1286 857 1396 448 879 480 798 1189 789 622 1510 691
"ENSG00000239207" 2 0 2 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0
"ENSG00000242321" 0 0 0 0 0 0 0 1 2 0 0 0 0 0 0 0 2 0 0 0
"ENSG00000241429" 0 1 4 3 1 6 1 7 1 5 6 5 4 1 2 3 3 5 3 5
"ENSG00000242244" 0 0 0 0 0 1 0 0 0 2 0 0 0 0 4 1 0 0 0 0
"ENSG00000244578" 0 0 0 0 0 2 0 0 0 1 2 0 1 0 0 0 0 0 0 0
"ENSG00000183770" 4 0 0 2 0 0 0 0 1 0 0 0 0 0 0 0 0 2 0 2
"ENSG00000206262" 0 0 2 3 0 0 2 0 0 0 0 0 4 0 0 4 0 3 0 0
"ENSG00000206260" 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000184814" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
"ENSG00000233701" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000251137" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000232416" 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000175110" 776 705 1670 447 792 845 903 1927 1074 748 923 534 831 669 1020 1080 952 917 1488 587
"ENSG00000272656" 7 5 16 5 13 31 8 1 9 28 2 9 12 13 15 19 11 5 25 9
"ENSG00000184432" 1912 2591 7244 2046 2724 3790 2647 7219 5139 3686 4119 1940 3041 2290 3963 4183 2771 3895 6368 2727
"ENSG00000248932" 31 26 33 22 31 51 15 10 4 30 48 17 43 36 20 15 38 29 19 20
"ENSG00000114113" 1 0 2 0 2 0 0 1 0 0 4 1 6 0 1 0 0 1 0 0
"ENSG00000248790" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000178631" 10 14 9 3 6 14 4 2 0 0 8 4 2 0 2 1 1 3 2 6
"ENSG00000114115" 1805 1510 3191 2833 1619 2415 1920 446 634 2208 3282 1296 2095 1461 1423 5139 2077 2017 1646 3126
"ENSG00000163864" 199 117 138 109 205 245 128 97 48 198 214 108 133 151 60 175 102 201 234 112
"ENSG00000214280" 0 0 0 1 0 1 1 0 0 0 9 0 1 0 2 1 3 0 0 1
"ENSG00000201600" 0 0 0 0 0 0 4 0 0 0 0 2 0 0 0 0 0 1 0 0
"ENSG00000244692" 2 1 0 1 2 0 3 0 0 2 1 2 1 0 0 1 0 1 1 0
"ENSG00000261763" 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0
"ENSG00000250543" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000251471" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000250161" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000158258" 146 150 1018 295 54 60 229 22 38 165 421 53 200 145 83 178 218 132 176 682
"ENSG00000249290" 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
"ENSG00000251058" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000216184" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000250433" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000249305" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000155890" 2 0 0 0 0 2 0 0 0 0 2 0 0 0 0 0 0 2 0 0
"ENSG00000261826" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000224085" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000114120" 130 296 540 463 318 199 234 174 579 340 316 159 214 229 165 336 504 471 526 519
"ENSG00000248773" 2 0 0 0 0 1 3 0 2 0 3 0 0 0 1 2 1 2 2 0
"ENSG00000175093" 4 27 18 12 6 16 16 4 0 18 8 0 4 7 0 15 30 22 18 2
"ENSG00000251270" 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000155893" 275 393 285 259 344 442 282 79 175 347 426 190 260 250 195 303 225 345 223 199
"ENSG00000241400" 0 0 0 0 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000249417" 1 0 1 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000249540" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0
"ENSG00000177311" 1090 1129 1942 1438 1163 1235 1472 1225 1088 2269 3421 560 2149 1123 953 3897 1778 1761 2218 1688
"ENSG00000215606" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
"ENSG00000155903" 540 334 538 784 747 501 702 598 924 752 1229 234 535 500 336 869 649 764 784 580
"ENSG00000250170" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0
"ENSG00000249986" 0 2 0 0 0 0 0 2 0 0 2 0 0 0 0 0 0 0 0 0
"ENSG00000242104" 2 0 0 0 0 0 0 0 0 1 2 2 0 2 0 1 0 5 0 0
"ENSG00000241899" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000241526" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000114125" 1642 1022 1646 901 1695 1891 1275 2090 1571 1686 2483 1435 1308 1199 1472 1479 1649 1396 2254 1224
"ENSG00000114124" 2 0 0 0 5 2 4 0 0 4 2 0 5 0 0 3 0 0 0 1
"ENSG00000265391" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000228398" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000069849" 117 317 926 1133 287 333 196 1935 948 357 534 103 223 427 348 727 1426 566 1647 437
"ENSG00000200389" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000244124" 0 0 0 13 2 0 3 2 3 0 0 0 0 2 1 2 13 3 4 2
"ENSG00000114126" 488 560 887 335 899 540 494 268 219 521 802 333 563 353 248 337 446 609 950 320
"ENSG00000233597" 11 2 3 7 29 11 9 3 2 13 8 8 13 4 10 5 13 10 10 6
"ENSG00000206604" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000175066" 250 196 304 314 326 263 233 274 229 200 374 139 179 195 216 308 177 263 573 209
"ENSG00000114127" 2774 2220 3589 2333 4635 2623 3458 841 1579 3122 6268 1490 2208 1957 1907 2192 1529 2137 1952 1849
"ENSG00000251804" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000202125" 0 0 0 1 2 2 2 0 5 0 0 0 0 4 3 0 1 2 0 0
"ENSG00000175054" 680 562 1513 754 873 1115 805 3059 2386 930 1405 519 1036 611 1091 2044 884 781 2458 695
"ENSG00000244327" 0 3 6 2 2 0 1 5 3 5 5 2 0 1 1 3 0 4 3 1
"ENSG00000242390" 3 0 0 1 1 0 3 2 0 0 0 0 2 0 1 1 3 0 4 0
"ENSG00000252745" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000120756" 590 560 1212 369 826 607 788 847 653 831 1283 459 743 488 364 653 516 579 824 569
"ENSG00000239641" 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000199319" 0 0 0 0 0 1 2 0 0 0 0 0 1 0 0 0 0 0 0 0
"ENSG00000144935" 31 34 94 74 76 56 78 24 68 90 92 20 40 36 25 74 146 70 67 124
"ENSG00000251787" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000163710" 806 137 126 390 1171 935 696 111 304 810 514 532 373 508 179 267 692 425 180 319
"ENSG00000240950" 8 2 0 24 4 13 2 3 11 8 5 4 8 13 14 5 9 4 1 6
"ENSG00000243818" 9327 2479 788 2606 10186 10364 9163 37 227 2435 8350 3339 1335 2426 292 733 813 1072 532 1531
"ENSG00000188582" 1009 444 594 700 1270 894 1271 280 540 888 1836 888 423 867 238 411 1212 468 486 1015
"ENSG00000241592" 5 2 12 4 6 6 6 2 1 3 7 3 1 7 1 0 3 2 0 6
"ENSG00000241570" 252 89 59 107 389 191 245 38 19 122 252 278 173 111 69 93 184 75 138 140
"ENSG00000268129" 1 2 0 1 1 1 1 0 0 1 2 2 4 0 3 0 0 2 0 1
"ENSG00000163714" 2625 2001 3024 3134 4279 3332 3106 2381 2931 3099 4976 2257 3206 1888 2156 3259 2382 2928 4380 2047
"ENSG00000243733" 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000175040" 51 135 141 144 160 65 64 210 97 126 125 38 46 74 105 254 129 95 141 117
"ENSG00000241679" 1 1 1 2 4 1 6 0 0 2 3 0 0 0 0 0 0 6 0 0
"ENSG00000211483" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000244171" 10 9 4 8 15 4 11 2 3 3 9 2 8 6 2 5 15 4 6 1
"ENSG00000181804" 87 247 230 152 117 146 145 47 27 235 130 42 108 160 23 161 302 199 180 215
"ENSG00000240888" 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
"ENSG00000240012" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0
"ENSG00000244493" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000243033" 0 0 0 0 0 2 0 0 0 0 0 0 0 2 2 0 1 4 2 0
"ENSG00000243759" 9 11 5 3 8 13 10 6 2 0 9 9 3 11 5 6 9 9 12 4
"ENSG00000248374" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0
"ENSG00000235110" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000181744" 293 719 644 483 768 450 481 1128 2007 599 1392 263 1057 781 619 1159 1136 1545 881 336
"ENSG00000222778" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000244024" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000241695" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000239797" 0 0 0 2 2 0 1 2 1 0 0 1 0 1 1 3 6 1 1 2
"ENSG00000244358" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000240095" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000261051" 21 11 30 123 169 105 71 102 817 72 232 19 93 58 56 84 78 229 484 48
"ENSG00000243415" 0 1 0 14 5 0 0 4 66 2 10 1 1 12 0 1 1 10 17 0
"ENSG00000240032" 4 2 4 7 4 9 7 40 50 4 19 2 2 7 4 3 12 6 36 10
"ENSG00000152952" 1194 1351 2916 1645 2353 2117 2934 19052 31986 1871 3196 861 1366 1486 1183 2217 2787 3437 15252 2493
"ENSG00000114698" 2431 2083 1498 1685 2064 1889 3215 1279 1493 3021 4545 1618 4198 1498 1234 3646 2837 1900 1449 1525
"ENSG00000243596" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000241358" 0 0 0 0 2 0 0 0 0 2 0 0 0 0 0 0 0 0 0 1
"ENSG00000163746" 2 0 4 3 1 2 1 0 2 5 4 0 4 1 2 3 2 0 2 1
"ENSG00000188313" 686 938 1477 849 1078 722 829 4272 3329 1102 1418 568 2883 613 1839 3850 2329 1028 1881 1187
"ENSG00000199812" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000231213" 0 0 0 2 0 1 0 0 0 0 0 2 2 0 0 0 0 0 0 0
"ENSG00000241457" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000243620" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000242671" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
"ENSG00000207156" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000239412" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000174963" 62 22 18 18 78 98 91 4 9 83 117 16 97 24 57 76 13 50 46 6
"ENSG00000152977" 681 259 173 349 1116 1347 958 12 202 1143 1292 423 1319 291 629 1674 233 658 472 145
"ENSG00000240804" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000239661" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000221431" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000239922" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000241131" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000221457" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000241792" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000244650" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
"ENSG00000205412" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0
"ENSG00000243347" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0
"ENSG00000242440" 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000241993" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000144891" 2458 2223 4211 2136 2326 2757 3837 3241 3106 2797 4171 1075 4572 2133 2549 5084 5215 3205 2803 5209
"ENSG00000153002" 493 462 341 26 65 746 264 2 267 2 19 36 12 224 466 8 165 247 8 178
"ENSG00000244089" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0
"ENSG00000240521" 2 2 2 3 1 3 0 0 0 0 1 0 0 0 0 0 0 0 0 0
"ENSG00000163751" 8 33 48 76 293 141 163 8 106 290 94 37 26 220 4 68 172 30 101 209
"ENSG00000241627" 5 1 10 2 2 3 5 8 4 6 1 2 0 10 5 3 4 3 5 0
"ENSG00000163754" 388 337 861 461 302 457 335 6383 2599 573 515 272 395 314 728 767 721 422 1530 559
"ENSG00000071794" 873 736 1248 487 1230 1048 1171 852 418 1023 1667 591 803 630 469 954 790 1108 1131 846
"ENSG00000201031" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000240511" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000239718" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000163755" 189 284 360 200 240 261 304 277 196 291 387 102 330 163 191 280 250 338 484 212
"ENSG00000047457" 13456 59574 85383 12844 15836 14844 20303 47231 40634 22326 30487 3599 28474 26084 19264 28717 24194 46672 59525 8708
"ENSG00000240216" 2 8 7 9 13 15 26 17 99 12 25 15 29 7 9 18 18 16 94 6
"ENSG00000244468" 0 0 0 0 0 0 0 2 0 0 0 0 0 0 2 1 0 0 0 0
"ENSG00000163762" 33 308 222 149 97 58 22 78 18 167 31 14 50 115 105 150 500 121 187 64
"ENSG00000243822" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000169908" 254 1299 1614 1582 817 581 482 5925 15919 969 467 256 487 543 1032 834 2075 581 1822 1080
"ENSG00000240541" 0 1 4 0 0 4 1 0 0 2 3 0 8 2 0 0 5 3 2 5
"ENSG00000243885" 4 2 6 0 0 5 0 1 0 2 9 3 6 0 0 2 0 1 4 3
"ENSG00000240246" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000241929" 2 4 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 1 0 0
"ENSG00000239408" 0 0 0 0 0 0 0 0 0 1 2 0 1 0 0 0 0 0 0 0
"ENSG00000169903" 5945 6820 13289 3925 9574 5652 5816 1038 5543 5096 15447 2891 4830 5225 2661 2716 5227 10052 4516 6486
"ENSG00000244503" 165 105 355 125 300 179 87 63 84 171 191 38 57 127 80 38 66 146 74 116
"ENSG00000018408" 662 771 1470 1111 1352 887 904 1028 1055 1435 1737 469 653 908 663 1190 1704 886 1484 1028
"ENSG00000252581" 0 0 0 1 1 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0
"ENSG00000241985" 0 0 1 2 4 0 0 2 2 1 0 0 0 1 0 1 9 1 3 2
"ENSG00000241313" 14 4 3 3 11 8 7 0 5 5 12 3 0 2 2 7 0 6 16 9
"ENSG00000114744" 460 438 802 336 469 537 506 968 475 734 722 320 469 389 445 731 576 342 826 614
"ENSG00000206199" 2 3 1 0 3 2 0 1 0 0 7 0 3 3 4 0 3 3 1 2
"ENSG00000251854" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000082996" 1533 1847 3012 1605 2008 1545 1855 1755 1365 2057 2536 1210 1791 1411 1645 2201 1760 1698 2166 1535
"ENSG00000252172" 0 1 4 1 1 0 1 0 0 1 0 0 1 1 2 0 0 1 2 0
"ENSG00000239351" 1 1 0 2 5 15 4 0 0 0 6 0 2 0 0 1 4 2 1 7
"ENSG00000070087" 844 315 265 365 846 744 542 359 249 882 2217 672 1296 418 247 1166 292 696 1246 747
"ENSG00000242791" 0 0 2 0 0 0 0 0 0 1 1 1 0 1 1 0 0 1 0 1
"ENSG00000224831" 2 6 3 5 6 1 6 10 4 4 2 4 11 7 1 4 8 2 12 4
"ENSG00000182000" 0 0 0 0 2 0 0 0 0 0 0 0 0 2 0 1 0 2 0 0
"ENSG00000241947" 0 0 0 0 0 0 0 2 0 0 0 2 1 0 0 0 0 0 0 0
"ENSG00000243944" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
"ENSG00000240477" 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
