"GTEX.11DXY.0526.SM.5EGGQ" "GTEX.11DXZ.0126.SM.5EGGY" "GTEX.11EQ9.0526.SM.5A5JZ" "GTEX.11GSP.0626.SM.5986T" "GTEX.11NUK.1226.SM.5P9GM" "GTEX.11NV4.1326.SM.5HL6V" "GTEX.11OF3.0726.SM.5BC4Z" "GTEX.11TT1.1726.SM.5EQLJ" "GTEX.11TUW.1726.SM.5BC5C" "GTEX.11WQC.0726.SM.5EQMR" "GTEX.11ZTS.1426.SM.5EQMM" "GTEX.11ZUS.2526.SM.59872" "GTEX.11ZVC.0726.SM.5FQT9" "GTEX.1212Z.0226.SM.59HLF" "GTEX.12696.0826.SM.5EGGE" "GTEX.1269C.0626.SM.5FQSS" "GTEX.12KS4.1326.SM.5LUB3" "GTEX.12WSD.1426.SM.5GCN9" "GTEX.12WSG.0626.SM.5FQTQ" "GTEX.12WSI.0226.SM.5GCNA"
"ENSG00000241180" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000223764" 66 51 152 115 97 53 73 6 15 56 210 48 45 64 72 87 107 55 93 252
"ENSG00000187634" 97 88 536 348 90 94 114 11 90 209 476 80 72 77 80 232 358 106 222 544
"ENSG00000188976" 1924 1609 3617 1323 2312 3035 1231 6603 4424 1905 3084 1540 2003 1543 3054 1711 1725 2077 4787 1269
"ENSG00000187961" 463 340 401 617 813 654 414 486 408 492 785 352 447 420 477 557 582 400 730 462
"ENSG00000187583" 9 17 60 41 21 23 25 329 135 10 40 25 28 42 29 24 26 52 72 68
"ENSG00000187642" 7 14 29 55 17 20 9 91 109 21 59 17 14 23 13 23 27 17 46 40
"ENSG00000272512" 21 21 24 168 113 48 25 20 160 48 33 37 64 84 19 66 91 73 83 114
"ENSG00000188290" 58 66 114 402 136 89 42 309 450 108 151 63 95 156 35 116 271 165 348 142
"ENSG00000231702" 3 0 0 3 0 0 0 4 0 1 0 3 2 0 3 1 0 6 0 4
"ENSG00000224969" 2 2 2 1 0 4 9 0 0 6 2 5 2 4 0 1 0 1 1 4
"ENSG00000187608" 503 500 701 1296 840 1046 689 1836 3970 772 2376 804 1765 931 609 2810 1036 828 1240 1787
"ENSG00000188157" 2690 2471 5111 3291 3131 3608 1871 2362 2214 3750 4889 1676 2503 2886 2046 2698 2919 3038 3083 4143
